,Feitian JavaCOS A22 & A40,Nettle 2.0,OpenSSL 0.9.7 & 1.0.2g & 1.0.2k & 1.1.0e,WolfSSL 2.0rc1 & 3.9.0 & 3.10.2,Cryptix JCE 20050328,cryptlib 3.4.3 & 3.4.3.1,Botan 1.5.6 & 1.11.29 & 2.1.0,Nettle 3.2 & 3.3,NXP J2A080 & J2A081 & J3A081 & JCOP 41 V2.2.1,Gemalto GCX4 72K,Libgcrypt 1.6.0 & 1.6.5 & 1.7.6,Bouncy Castle 1.53 (Java),YubiKey NEO,Gemalto GXP E64,HSM Utimaco Security Server Se50,YubiKey 4 & 4 Nano,Libgcrypt 1.6.0 FIPS & 1.6.5 FIPS,GNU Crypto 2.0.1,SunRsaSign OpenJDK 1.8.0,Microsoft CryptoAPI & CNG & .NET,FlexiProvider 1.7p7,G&D SmartCafe 3.2,G&D SmartCafe 4.x & 6.0,HSM SafeNet Luna SA-1700,OpenSSL FIPS 2.0.12 & 2.0.14,Oberthur Cosmo 64,PolarSSL 0.10.0,Libgcrypt 1.7.6 FIPS,Crypto++ 5.6.0 & 5.6.3 & 5.6.5,PuTTY 0.67,NXP J2D081 & J2E145G,Bouncy Castle 1.54 (Java),mbedTLS 1.3.19 & 2.2.1 & 2.4.2,Infineon JTOP 80K,Oberthur Cosmo Dual 72K,PGPSDK 4,PGPSDK 4 FIPS,LibTomCrypt 1.17
1|0|011000,3887,10979,148654,59962,10762,44310,47262,44978,98684,1617,80505,11416,237,3171,7410,0,46628,20849,11435,49346,10760,0,0,14352,44727,740,10875,293,67765,4688,52968,34118,43811,0,3859,24188,13274,14943
1|0|011001,4073,10571,157222,62748,10573,46908,49006,47376,91922,1715,85544,10867,253,3197,7519,0,48871,19826,10949,50616,10497,0,0,15495,47558,808,10508,286,70541,4546,50352,35398,42228,0,4142,25742,12843,15680
1|0|011010,4262,10254,164307,65836,10206,49292,51951,49453,85307,1820,89835,10174,240,3203,7555,0,51299,18966,10385,51936,10357,0,0,16237,49571,839,10245,321,72567,4501,48380,36234,40798,0,4426,27376,12771,16594
1|0|011011,4495,9792,172910,69434,9912,51897,54600,51848,82136,1881,93729,9860,203,3333,7597,0,53651,18599,9841,51487,9910,0,0,16970,51921,918,9726,296,72110,4333,46866,35276,39559,0,4523,29036,12602,17405
1|0|011100,4717,9513,181174,72449,9532,54004,56778,54334,81960,1902,97697,9319,205,3208,7511,0,55934,17627,9026,49231,9529,0,0,17761,54557,935,9473,250,69945,4142,45141,34030,38256,0,4819,30415,12270,18262
1|0|011101,4855,9289,188139,75773,9260,56403,58771,56448,82155,1980,102788,8696,176,3119,7556,0,58129,16774,8753,47643,9066,0,0,18376,56571,991,9217,262,67803,4044,43094,33036,36594,0,5056,31126,11906,18942
1|0|011110,5049,8864,195852,78926,9008,58501,61497,59049,81907,2114,106148,8307,183,2863,7532,0,60480,16056,8477,45726,8910,0,0,19134,58724,999,9077,232,65279,4010,40974,31593,35888,0,5121,32973,11716,19541
1|0|011111,5475,8396,204182,81977,8703,61308,64068,61350,81758,2127,109928,7805,198,2733,7478,0,63121,15446,7897,44354,8480,0,0,19946,61327,1050,8549,263,63580,3719,38899,30768,34525,0,5364,34203,11649,20710
1|0|100000,5215,8305,203024,81698,8340,61003,64209,61004,82018,2239,110754,7361,199,2355,7325,0,62747,14681,7509,42768,8229,0,0,20203,60915,1079,8343,232,60969,3650,37472,29719,33226,0,5301,34185,11211,20362
1|0|100001,4973,8112,196723,79129,7915,58440,61878,59045,82638,2104,107219,7073,183,2214,6983,0,60807,13797,6994,41196,7962,0,0,19424,58875,1098,7965,240,59062,3483,35702,28750,32102,0,5111,33470,10958,19525
1|0|100010,4800,7633,189159,75371,7791,56454,58887,56554,85672,2039,102686,6700,164,2075,6724,0,58113,13437,6645,39646,7666,0,0,18452,57046,1036,7737,261,56033,3359,34021,27527,30857,0,4904,31881,10809,19079
1|0|100011,4722,7316,182912,72887,7413,54405,56256,54617,84726,1998,98380,6343,131,1859,6448,0,56274,12804,6106,38114,7342,0,0,17696,54417,940,7343,227,54293,3271,32363,26535,29703,0,4840,30370,10541,18013
1|0|100100,4517,6994,174342,69774,7108,52521,55182,52403,85094,1890,94873,5842,147,1527,6328,0,53917,12169,5833,36502,7000,0,0,16824,51964,878,7162,227,52348,3101,29645,25257,28197,0,4499,29033,10119,17393
1|0|100101,4406,6848,167572,66913,6859,49967,52482,50742,85278,1833,91332,5477,141,1273,6240,0,52077,11497,5694,35206,6903,0,0,16368,49823,904,6860,201,49813,3041,28007,24363,27162,0,4418,27878,9923,16905
