,Feitian JavaCOS A22 & A40,Nettle 2.0,OpenSSL 0.9.7 & 1.0.2g & 1.0.2k & 1.1.0e,WolfSSL 2.0rc1 & 3.9.0 & 3.10.2,Cryptix JCE 20050328,cryptlib 3.4.3 & 3.4.3.1,Botan 1.5.6 & 1.11.29 & 2.1.0,Nettle 3.2 & 3.3,NXP J2A080 & J2A081 & J3A081 & JCOP 41 V2.2.1,Gemalto GCX4 72K,Libgcrypt 1.6.0 & 1.6.5 & 1.7.6,Bouncy Castle 1.53 (Java),YubiKey NEO,Gemalto GXP E64,HSM Utimaco Security Server Se50,YubiKey 4 & 4 Nano,Libgcrypt 1.6.0 FIPS & 1.6.5 FIPS,GNU Crypto 2.0.1,SunRsaSign OpenJDK 1.8.0,Microsoft CryptoAPI & CNG & .NET,FlexiProvider 1.7p7,G&D SmartCafe 3.2,G&D SmartCafe 4.x & 6.0,HSM SafeNet Luna SA-1700,OpenSSL FIPS 2.0.12 & 2.0.14,Oberthur Cosmo 64,PolarSSL 0.10.0,Libgcrypt 1.7.6 FIPS,Crypto++ 5.6.0 & 5.6.3 & 5.6.5,PuTTY 0.67,NXP J2D081 & J2E145G,Bouncy Castle 1.54 (Java),mbedTLS 1.3.19 & 2.2.1 & 2.4.2,Infineon JTOP 80K,Oberthur Cosmo Dual 72K,PGPSDK 4,PGPSDK 4 FIPS,LibTomCrypt 1.17
2|1|010110,3400,11518,0,52940,11464,39842,41522,39802,0,1426,71326,12644,0,2868,7646,0,41036,0,12456,45715,11287,0,0,13005,39716,670,11475,256,62829,5096,0,31777,45982,0,0,21088,13595,13157
2|1|010111,3596,11211,0,56732,11129,41961,44187,42294,0,1526,76330,12116,0,3097,7368,0,43606,0,11895,47557,11243,0,0,13961,42430,743,11252,268,65251,4939,0,32818,44794,0,0,23020,13426,14068
2|1|011000,3831,10877,0,59811,10920,44339,47141,45051,0,1634,80962,11334,0,3154,7552,0,46021,0,11636,49373,10917,0,0,14556,44680,778,10864,293,67610,4737,0,34211,43477,0,0,24578,13017,14954
2|1|011001,4095,10564,0,62165,10714,47065,49211,46965,0,1686,85628,10953,0,3244,7509,0,48371,0,10885,51250,10464,0,0,15344,46976,822,10604,311,69814,4663,0,35426,42033,0,0,25640,12827,15683
2|1|011010,4277,10294,0,65867,10016,49284,51844,49621,0,1771,89547,10335,0,3142,7517,0,51198,0,10319,51795,10147,0,0,16290,49688,904,10275,293,72196,4456,0,36057,40912,0,0,27458,12788,16613
2|1|011011,4490,9781,0,69506,9938,51776,54560,51839,0,1884,94185,9858,0,3300,7659,0,53405,0,9833,51008,9791,0,0,16892,51778,950,9798,266,72583,4262,0,35169,39400,0,0,28705,12752,17147
2|1|011100,4701,9466,0,71866,9447,53717,56771,54060,0,1973,97757,9199,0,3206,7474,0,55767,0,9430,49302,9550,0,0,17727,54387,965,9554,268,70536,4130,0,33934,38162,0,0,30079,12234,18125
2|1|011101,4851,9257,0,75472,9134,56348,59651,56442,0,2046,102485,8703,0,2962,7435,0,57889,0,8636,47050,9171,0,0,18432,56198,999,9071,274,67633,4039,0,33349,37324,0,0,31314,12100,18903
2|1|011110,5136,8950,0,78037,8816,58400,61877,58942,0,2137,106908,8390,0,2923,7453,0,60658,0,8224,45865,8878,0,0,18926,58872,1022,8971,234,65888,3955,0,31911,35824,0,0,32754,11862,19470
2|1|011111,5262,8638,0,81992,8626,60822,64391,61069,0,2182,110427,7728,0,2694,7541,0,63167,0,7726,44319,8615,0,0,19862,61086,1102,8692,235,63213,3703,0,30922,34596,0,0,34397,11503,20314
2|1|100000,5131,8293,0,81083,8356,60956,64200,61330,0,2161,110731,7474,0,2443,7542,0,63353,0,7497,42506,8406,0,0,19796,61310,1067,8357,232,61253,3684,0,29635,33230,0,0,34509,11314,20556
2|1|100001,5186,8046,0,78913,7995,58492,61880,58536,0,2118,106614,6903,0,2197,7131,0,60868,1,7056,41282,8047,0,0,19530,58990,1049,7916,256,58359,3517,0,28861,32139,0,0,33272,11071,19510
2|1|100010,4810,7656,0,75340,7715,56286,59329,56756,0,1994,102504,6638,0,2032,6753,0,58490,0,6688,39851,7894,0,0,18607,56405,1033,7676,196,57217,3368,0,27439,30876,0,0,31656,10741,18835
2|1|100011,4597,7187,0,73273,7296,54034,57237,54323,0,1953,98557,6221,0,1743,6514,0,56302,0,6379,38398,7377,0,0,17728,54339,983,7375,215,55020,3313,0,26673,29675,0,0,30674,10460,18139
2|1|100100,4517,7010,0,69513,7208,52177,55208,52264,0,1837,94639,5993,0,1479,6225,0,54071,0,5993,36556,7242,0,0,17134,52896,912,7070,210,52129,3065,0,25610,28252,0,0,29051,10091,17439
2|1|100101,4263,6901,0,66921,6840,49806,53111,50266,0,1853,90363,5631,0,1317,5989,0,51553,0,5594,35095,6753,0,0,16506,49995,873,6810,193,49952,2935,0,24374,27324,0,0,27683,9878,16907
2|1|100110,4211,6627,0,63931,6468,47898,50213,48433,0,1752,87129,5268,0,1130,5762,0,49810,0,5418,33893,6644,0,0,15709,48033,836,6441,174,48194,2760,0,23526,26068,0,0,26824,9584,16092
2|1|100111,4008,6266,0,61237,6227,46181,47957,45788,0,1709,83085,4954,0,951,5477,0,47169,0,4905,31951,6291,0,0,15167,45976,801,6166,180,45762,2760,0,22379,25234,0,0,25402,9536,15082
2|1|101000,3783,5945,0,58368,5806,43561,46140,44163,0,1638,78982,4679,0,718,5343,0,45546,0,4685,30785,5899,0,0,14245,43959,778,5916,170,43702,2589,0,21149,23907,0,0,24240,9142,14510
2|1|101001,3521,5584,0,55144,5717,41634,43838,42367,0,1475,75411,4365,0,587,4971,0,43327,0,4427,29366,5694,0,0,13617,41820,723,5595,159,41763,2562,0,20292,22662,0,0,23061,8990,14039
2|1|101010,3462,5314,0,53056,5446,39722,41717,40156,0,1440,72117,4225,0,508,4854,0,41081,0,4125,27847,5328,0,0,12978,39924,725,5487,173,39728,2398,0,19179,22066,0,0,21727,8806,13150
2|1|101011,3216,5115,0,50278,5316,37264,39527,37844,0,1376,68486,3925,0,341,4528,0,38657,0,3957,26371,5092,0,0,12408,37961,638,4998,149,37592,2321,0,18206,20488,0,0,20563,8453,12640
2|1|101100,3112,4941,0,47754,4818,35757,37584,35767,0,1306,64696,3603,0,292,4200,0,36929,0,3690,25022,4876,0,0,11503,35799,615,4941,129,35447,2191,0,17355,19463,0,0,19221,8378,12074
2|1|101101,2898,4494,0,45114,4576,33539,35656,33548,0,1217,61286,3391,0,217,3996,0,35254,0,3398,23791,4683,0,0,10975,33886,608,4709,146,33725,1941,0,16376,18458,0,0,18101,8268,11269
2|1|101110,2799,4370,0,42345,4257,31951,33500,31716,0,1147,57805,3080,0,162,3839,0,32706,0,3204,22565,4230,0,0,10491,31894,558,4296,119,31729,1816,0,15348,17171,0,0,17064,7774,10628
2|1|101111,2543,4156,0,39650,4017,29776,30974,29926,0,997,54420,2975,0,121,3529,0,30626,0,2835,21101,4084,0,0,9838,29771,549,3950,110,29997,1808,0,14626,16342,0,0,15733,7696,9874
2|1|110000,2412,3829,0,37662,3707,28067,29071,27936,0,990,50351,2661,0,85,3252,0,28412,0,2713,19492,3786,0,0,9097,27886,464,3814,92,28069,1665,0,13578,15099,0,0,14589,7615,9292
2|1|110001,2223,3599,0,34430,3509,26235,27123,25638,0,929,47196,2419,0,70,3081,0,26693,0,2429,18321,3504,0,0,8558,25926,416,3660,88,26269,1451,0,12601,14190,0,0,13431,7507,8650
2|1|110010,2135,3257,0,32272,3317,23900,25478,24170,0,940,43832,2277,0,29,2964,0,24822,0,2182,16955,3335,0,0,7903,23752,468,3259,86,23775,1405,0,11632,13245,0,0,12334,7306,8063
2|1|110011,1896,3040,0,29939,3048,22136,23243,22410,0,815,40333,2126,0,21,2586,0,22914,0,2017,15713,3007,0,0,7327,22451,408,2927,93,22311,1307,0,10933,11951,0,0,11081,7278,7435
2|1|110100,1695,2747,0,27164,2734,20114,21444,20035,0,781,36876,1870,0,21,2432,0,21075,0,1878,14134,2736,0,0,6698,20315,343,2751,93,20567,1199,0,9819,11125,0,0,9983,7193,6788
2|1|110101,1600,2434,0,24688,2535,18449,19500,18410,0,620,33475,1715,0,12,2271,0,19212,0,1749,12994,2491,0,0,6089,18656,324,2549,78,18213,1070,0,8722,10178,0,0,8975,7066,6170
2|1|110110,1481,2293,0,22240,2264,16567,17525,16770,0,634,30471,1567,0,8,1986,0,17636,0,1555,11727,2317,0,0,5275,16756,287,2297,49,16793,1014,0,8230,8997,0,0,7784,7039,5542
2|1|110111,1245,1942,0,19837,2027,14731,15586,14788,0,548,27081,1337,0,4,1767,0,15322,0,1307,10276,2120,0,0,4869,14853,294,1962,51,14895,894,0,7185,7960,0,0,6890,6762,4833
2|1|111000,1149,1764,0,17279,1749,13062,13700,13174,0,451,23513,1194,0,2,1519,0,13498,0,1159,9185,1769,0,0,4326,12920,242,1720,58,13114,785,0,6352,7158,0,0,5677,6735,4335
2|1|111001,986,1509,0,14893,1521,11172,11872,11296,0,433,20467,994,0,0,1347,0,11519,0,967,7667,1506,0,0,3706,11441,208,1500,52,11373,703,0,5558,6192,0,0,4546,6681,3866
2|1|111010,826,1242,0,12463,1257,9646,10248,9315,0,339,17196,858,0,1,1111,0,9859,0,852,6700,1324,0,0,3144,9589,184,1331,39,9506,592,0,4697,5174,0,0,3689,6642,3189
2|1|111011,692,1059,0,10344,1038,7797,8235,7859,0,272,14030,700,0,0,944,0,7925,0,666,5573,1064,0,0,2522,7648,138,1022,29,7751,456,0,3737,4272,0,0,2554,6513,2595
2|1|111100,525,805,0,8110,823,5862,6434,5980,0,209,10974,500,0,0,758,0,6209,0,531,4256,815,0,0,1968,6046,107,816,20,6049,368,0,2994,3040,0,0,1567,6545,2068
2|1|111101,411,582,0,5536,561,4152,4450,4254,0,167,7776,366,0,0,507,0,4409,0,365,3009,622,0,0,1378,4270,69,609,21,4276,239,0,2149,2329,0,0,489,6506,1415
2|1|111110,220,318,0,3325,328,2494,2660,2589,0,98,4557,219,0,0,312,0,2689,0,211,1845,354,0,0,815,2614,40,306,10,2527,157,0,1187,1383,0,0,0,6473,934
2|1|111111,74,125,0,1171,110,907,878,827,0,25,1541,76,0,0,107,0,860,0,64,588,115,0,0,297,839,18,104,3,793,44,0,394,477,0,0,0,6501,281
